Map Name,Gradient 1,Gradient 2,Gradient 3
beta_0001,-0.05013741434446682,-0.5022449509814274,-0.04981537592359429
con_0001,-0.05013741434446682,-0.5022449509814274,-0.04981537592359429
ResMS,-0.23356270061697362,0.2649304221947735,-0.008539367462791261
RPV,-0.16246105516114503,0.001110752932336419,-0.11000582603056272
spmT_0001,-0.10719246262238351,-0.5210607876479554,-0.01917697414477186
aut-oct,-0.04008759413136226,0.29946593485641787,0.08248832610076119
oct-aut,-0.21198957588931297,-0.37968749599822,0.08376963038513743
CRT_task,0.09293857503481226,-0.06098168438381186,-0.3893952999922912
WM_task,-0.009917203394844726,-0.030030692982260732,-0.5372718142429674
Myself_rest_zstat1,-0.06869690219778428,0.05161902568921644,0.1416040392134039
Other_Rest_zstat1,0.06623214899483938,0.061472746116142604,0.20883605494743862
Epi_SIB,-0.6493639702734726,0.2627838758862954,-0.22948097441749354
Epi_WIB,-0.6332220633217243,0.2568186081877405,-0.25294128169127134
Sem_SIB,-0.7687928835126837,0.1869051938977386,-0.05803196950631681
Sem_WIB,-0.7692157713057222,0.1837333585487895,-0.11960605893111083
episodic,0.31977010190987115,-0.19588773965776868,0.14315699579577923
Uniquess,0.19073880368382973,0.14859948675816156,-0.07301257031618957
MemoryRetrieval,-0.03669141406086023,0.11588458251675249,0.3238639637231755
Reading,-0.19586954016577107,-0.01488389259522747,0.3268895860198459
Auditory_gt_baseline_thresh_zstat1,-0.20697801682809133,-0.16296126347987583,0.07797814330742196
Auditory_gt_baseline_zstat1,-0.3876038630800136,-0.22367798263497501,-0.1605099619831563
Calculation_gt_baseline_thresh_zstat1,-0.041586918059404746,-0.10476536106325965,-0.05452354710717792
Calculation_gt_baseline_zstat1,-0.34134696422833327,-0.1431204732172305,-0.34410479683011175
Language_gt_baseline_thresh_zstat1,-0.09887900433290886,-0.09944994135318581,0.04142004422892978
Language_gt_baseline_zstat1,-0.26918694444880675,-0.0871286797628712,0.0065038936021084015
Motor_gt_baseline_thresh_zstat1,-0.11407804105848779,-0.19095489626150466,-0.02792979659306486
Motor_gt_baseline_zstat1,-0.15351664743151786,-0.1262134808926307,-0.198276783909385
Visual_gt_baseline_thresh_zstat1,-0.19923120687746798,0.322373182989245,0.01742773087586253
Visual_gt_baseline_zstat1,-0.28745480295347325,0.3781637764679082,-0.13619984285241746
Faces_gt_baseline_thresh_zstat1,-0.4366184986512627,0.36246136212529156,-0.07373228709740592
Faces_gt_baseline_zstat1,-0.5558037231785531,0.30315903406130984,-0.24687125226913037
Places_gt_baseline_thresh_zstat1,-0.4705442787882515,0.44272192154812684,-0.007157533265225856
Places_gt_baseline_zstat1,-0.6434393968611698,0.29807499532859083,-0.17488073534429124
0back_gt_baseline_thresh_zstat1,-0.2227162429040602,-0.14661148666171303,-0.0001952256759638842
0back_gt_baseline_zstat1,-0.19560951766921936,0.01147035653538736,-0.18095631748579893
2back_gt_baseline_thresh_zstat1,-0.10133787916578903,0.03166368352983753,-0.4704478703709726
2back_gt_baseline_zstat1,-0.10651275908176558,0.1598644723542479,-0.5543847997174919
Negative_gt_baseline_thresh_zstat1,-0.3271415969887478,0.4379403444249288,-0.1733632519756077
Negative_gt_baseline_zstat1,-0.2924355263213122,0.41160007465806697,-0.21007493999211924
Neutral_gt_baseline_thresh_zstat1,-0.22661497302389205,-0.22810958986235227,-0.12234550802173
Neutral_gt_baseline_zstat1,-0.4114063552330822,-0.1742833208212608,-0.34435946765110886
Positive_gt_baseline_thresh_zstat1,-0.41094745287940726,0.4138298600237672,-0.08782075780842724
Positive_gt_baseline_zstat1,-0.34348532204539034,0.3845767074857376,-0.11480489349182517
Go_gt_baseline_thresh_zstat1,-0.2776288498808577,-0.1333370732630146,0.04096087833174091
Go_gt_baseline_zstat1,-0.12509496277727766,-0.37667822461035977,-0.12917064847409987
No-Go_gt_baseline_thresh_zstat1,-0.12987335611961962,0.03588385477311312,-0.12953863841745988
No-Go_gt_baseline_zstat1,-0.11562194210883353,-0.19566648968132122,-0.42718624934446525
Win_gt_baseline_thresh_zstat1,-0.32180430869510834,-0.16806119530624145,-0.24978838126143948
Win_gt_baseline_zstat1,-0.5105860553427073,-0.0986485538860974,-0.4327739110026637
Easy,-0.062405268928096023,0.053633835968150856,0.17102272689857143
Easy_Go,-0.14109780189567722,-0.05367327976132472,0.30170316703430883
Hard,-0.3170266337652818,0.036363877071685466,-0.1594099506111295
Picture,-0.19754394870729916,-0.08501375877474807,0.33387574405303033
Pic_Go,-0.11092409172082429,-0.06598356787119586,0.36813159894319647
Word,-0.11850304195066026,-0.354906296269618,0.23590406239650735
Word_Go,-0.06175334878897577,-0.3112050545469599,0.3301822778491098
pe1,-0.3249961894704096,-0.10341629587209479,-0.34023574616583946
Language_NonWords,-0.16429995716041276,0.18310942195777893,-0.29412840292476033
Language_Words,-0.22414612023990904,0.1388716613747304,-0.15119173240596778
Maths_easy,-0.1249541382954847,0.33222197117122987,-0.020870498152335333
Maths_hard,-0.27579925649931475,0.40238260383738905,-0.4073823083683301
Spatial_easy,-0.3347482079345699,0.19237276246825147,-0.3985945211747553
Spatial_hard,-0.29397846525834337,0.2627136950702742,-0.49670258183446964
